Nerrtica,3786,Song,kkwsf@naver.com,5881229,Seoul
korin0925,9187,Go,speowk@gmail.com,6292239,Busan
kimhs327,6795,Kim,theAnn@naver.com,7165435,Seoul
kswon9205,3721,Choi,dragon@rage.com,2298561,Daejeon
DavidLandon,3610,Chu,thunder@bolt.com,3750119,Daegu
rino0601,8542,Choo,hello@world.net,2058860,Daejeon
flyjsw,4724,Na,nasy@dbdesign.co.kr,1131727,Daegu
songchi1234,6210,Jang,running@nxt.com,7312340,Seoul
MeYou,5313,Kang,tetris@classic.clan,9508896,Seoul
lyuha,7969,Han,Srlatch@logic.com,9383301,Seoul
kimhsc,6893,Sung,Apint@cube.com,9616208,Daegu
kswonc,2440,Da,AoA@ace.com,2919335,Busan
nerrticac,7167,In,inter@stella.com,9965720,Ulsan
songchic,7478,Chi,winter@kingdom.com,4728898,Busan
chuc,5830,One,lord@ring.com,3815223,Daejeon
lyuhac,7224,Jun,darkknight@rise.com,9814461,Ulsan
rinoc,7723,Jin,rhudolf@santa.net,3452911,Daejeon
meyouc,5395,Jo,octocat@github.com,6174168,Daegu
laurantc,2896,Park,slave@kaist.co.kr,9541869,Ulsan
hiverc,2826,Lee,hwejang@zeropage.org,1020698,Busan
